,mature,immature,rotten,label
0,0.9518033710014607,2.158257148491035e-06,0.04819662899853925,mature
1,0.9196229253615452,0.0,0.08037707463845482,mature
2,0.9380260137719969,0.0,0.06197398622800306,mature
3,0.9685006877579092,0.0,0.031499312242090786,mature
4,0.9526408033001431,0.0,0.04735919669985688,mature
5,0.9044301388452182,0.0,0.0955698611547818,mature
6,0.9088468787480725,0.02778571020617968,0.09115312125192758,mature
7,0.9647239702517163,0.0,0.035276029748283755,mature
8,0.0,0.8839374444270098,0.11606255557299022,immature
9,0.0,0.6296992481203008,0.37030075187969924,immature
10,0.0,0.9629741173135862,0.037025882686413804,immature
11,0.0,0.8439474081910231,0.15605259180897688,immature
12,0.00016034634811192176,0.840174777519442,0.159825222480558,immature
13,0.0,0.6885003004315289,0.31149969956847107,immature
14,1.6187778227438285e-05,0.7913719142047754,0.2086280857952246,immature
15,0.0,0.8286090627171557,0.17139093728284432,immature
16,0.3974603855921594,1.4307686804735844e-05,0.6025396144078407,rotten
17,0.9975413406854408,0.0,0.002458659314559202,rotten
18,0.8687781176894007,0.0,0.13122188231059925,rotten
19,0.536183233809508,0.0,0.4638167661904919,rotten
20,0.7600497649986176,0.0,0.23995023500138235,rotten
21,0.393050481223307,4.607212129868095e-06,0.606949518776693,rotten
22,0.9792235122073012,0.0,0.020776487792698802,rotten
23,0.39254627352709276,0.0,0.6074537264729073,rotten
